trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp4.png,estimation_exp1.png,estimation_exp3.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.8296354270430486,0,valid_lose,11.951343400000042,0,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.572763747286944,1,valid_win,21.592161800000213,1,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.7526515254856854,0,valid_lose,29.123025100000632,1,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.15357419197375177,0,invalid_lose,38.93516980000004,1,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.27757333837428755,0,valid_lose,45.94974960000036,1,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.31912119688382024,0,valid_lose,51.68150330000026,1,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.7266248470784866,0,valid_lose,56.28004260000034,1,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.23717721558204286,0,invalid_lose,63.1445334,1,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.7595136961851635,1,valid_win,69.99188400000003,2,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.6715249833521928,1,valid_win,76.37280570000075,3,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.0637444597129776,1,invalid_win,82.95396150000033,4,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.5097748824731484,1,valid_win,91.05122410000058,5,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.4877597184401604,0,valid_lose,96.33352640000066,5,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.8386501513909805,1,valid_win,101.26437960000021,6,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.2917866978513681,0,valid_lose,110.26188850000017,6,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.24436589261392383,1,invalid_win,115.45977050000056,7,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.781334382604945,1,valid_win,121.25748340000064,8,,,,,,,,,,,,,,,sub_683,2024-05-05_11h02.27.433,Reversal,2023.1.3,60.279746246370124,3,
